date,close,volume,open,high,low
3/4/15,210.2301,114257600,210.4,210.49,209.06
3/5/15,210.46,76825940,210.62,210.8,209.85
3/6/15,207.5,186468600,209.42,209.94,207.1
3/9/15,208.36,89621890,207.74,208.79,207.5459
3/10/15,204.98,156656000,206.71,206.81,204.93
3/11/15,204.5,109058000,205.29,205.5,204.4
3/12/15,207.1,93451320,205.26,207.175,205.2
3/13/15,205.8272,162353900,206.77,207.9338,204.58
3/16/15,208.58,135571800,206.71,208.69,205.8641
3/17/15,207.96,94322500,207.69,208.42,206.98
3/18/15,210.46,227287200,207.39,211.27,206.62
3/19/15,209.5,117697000,209.96,210.4697,209.03
3/20/15,210.41,177517400,209.71,211.02,209.4903
3/23/15,210,71619060,210.42,211.11,210
3/24/15,208.82,76947650,209.85,210.4,208.74
3/25/15,205.76,159285600,209.07,209.35,205.71
3/26/15,205.27,152909900,204.96,206.37,204.12
3/27/15,205.74,117057900,205.13,205.95,204.9
3/30/15,208.25,95986750,206.98,208.61,206.96
3/31/15,206.43,126569200,207.26,208.1,206.36
4/1/15,205.7,137055500,206.39,206.42,204.51
4/2/15,206.435,86817710,205.62,206.98,205.4
4/6/15,207.83,113960800,205.37,208.45,205.21
4/7/15,207.28,81058840,207.855,208.76,207.24
4/8/15,207.975,89261180,207.55,208.51,207.08
4/9/15,208.9,85426740,207.78,209.18,207.19
4/10/15,210.04,72471010,209.2,210.09,208.96
4/13/15,209.09,74139030,209.87,210.63,209.03
4/14/15,209.49,74795430,208.85,209.71,208.1
4/15/15,210.43,99415800,210.05,211.04,209.95
4/16/15,210.37,68783390,210.03,210.98,209.7928
4/17/15,207.95,191012500,208.94,209.23,207.01
4/20/15,209.85,92026870,209.06,210.25,208.96
4/21/15,209.6,71355280,210.67,210.86,209.24
4/22/15,210.63,78047720,210.01,210.85,208.9
4/23/15,211.16,102247700,210.15,211.94,210.01
4/24/15,211.6499,61224640,211.66,211.97,211.11
4/27/15,210.77,79107250,212.33,212.48,210.54
4/28/15,211.44,86758030,210.74,211.5,209.3301
4/29/15,210.57,125567200,210.37,211.29,209.6
4/30/15,208.46,160666400,209.88,210.35,207.62
5/1/15,210.72,103245100,209.4,210.77,209.28
5/4/15,211.32,70813860,211.23,212.02,211.1
5/5/15,208.9,113182500,211.03,211.46,208.73
5/6/15,208.04,135438200,209.56,209.93,206.76
5/7/15,208.87,88018400,207.92,209.38,207.52
5/8/15,211.62,156207000,210.88,211.86,210.78
5/11/15,210.605,75465110,211.57,211.89,210.52
5/12/15,209.98,119647000,209.61,210.63,208.62
5/13/15,210.02,94544280,210.47,211.22,209.74
5/14/15,212.21,95825920,211.24,212.32,210.91
5/15/15,212.44,76393990,212.44,212.61,211.86
5/18/15,213.1,74382800,212.24,213.4,212.16
5/19/15,213.03,72041550,213.24,213.57,212.69
5/20/15,212.88,76542810,213.15,213.78,212.504
5/21/15,213.5,64544870,212.71,213.75,212.51
5/22/15,212.99,57367260,213.04,213.54,212.91
5/26/15,210.7,124074500,212.4,212.9089,210.2
5/27/15,212.7,92949380,211.25,212.98,210.7612
5/28/15,212.46,74855480,212.33,212.59,211.63
5/29/15,211.14,123383800,212.38,212.43,210.82
6/1/15,211.57,93171140,211.94,212.34,210.62
6/2/15,211.36,91438580,211.02,212.19,210.27
6/3/15,211.92,87704660,212,212.67,211.3301
6/4/15,210.1292,151747400,211.07,211.859,209.75
6/5/15,209.77,121669100,209.95,210.58,208.98
6/8/15,208.48,88866040,209.64,209.82,208.39
6/9/15,208.45,104826800,208.45,209.1,207.69
6/10/15,210.95,133678600,209.37,211.41,209.2987
6/11/15,211.63,73755850,211.48,212.09,211.2
6/12/15,210.01,135327800,210.64,211.482,209.68
6/15/15,209.11,124240100,208.64,209.45,207.79
6/16/15,210.25,85152890,208.93,210.35,208.72
6/17/15,210.59,126642800,210.59,211.32,209.36
6/18/15,212.78,164892200,211.31,213.34,210.6315
6/19/15,210.81,130219500,211.46,211.55,210.36
6/22/15,211.89,70514900,211.905,212.59,211.64
6/23/15,212.04,68053640,212.14,212.44,211.57
6/24/15,210.5,92151530,211.72,212.17,210.47
6/25/15,209.86,97026210,211.1,211.25,209.77
6/26/15,209.82,103470400,210.29,210.58,209.16
6/29/15,205.42,194187600,208.045,209.828,205.33
6/30/15,205.85,182761900,207.26,207.32,205.28
7/1/15,207.5,134195600,207.73,208.03,206.56
7/2/15,207.31,104256300,208.07,208.27,206.81
7/6/15,206.72,117560100,205.77,207.65,205.53
7/7/15,208.02,173452600,206.96,208.17,204.11
7/8/15,204.53,163538700,206.45,206.7645,204.25
7/9/15,204.9,141251300,207.04,207.35,204.77
7/10/15,207.48,129124200,207.29,207.98,204.9517
7/13/15,209.77,105721800,208.99,209.9,208.94
7/14/15,210.68,81287840,209.72,211.05,209.65
7/15/15,210.61,97532900,210.73,211.28,210.04
7/16/15,212.3,105988600,211.87,212.3,211.58
7/17/15,212.48,88094480,212.29,212.55,211.8
7/20/15,212.59,70280430,212.75,213.18,212.21
7/21/15,211.75,77743460,212.43,212.74,211.39
